about, above, acute, adapt, admit, adopt
basic, beach, begin, below, bench, birth
cabin, cable, camel, canal, candy, carry
daily, dance, death, delay, depth, doubt
eager, early, earth, elbow, elect, elite
faith, false, fancy, fault, feast, fiber
gamma, gavel, giant, ghost, given, grass
habit, happy, harsh, heart, heavy, honor
ideal, ideas, idiot, image, index, input
jiffy, jolly, joker, judge, juice, jumbo
karma, kites, kneel, knock, known, koala
label, labor, later, laugh, layer, learn
macro, magic, major, maker, mango, march
naive, nanny, nears, neigh, never, night
oasis, ocean, offer, often, onion, orbit
paint, panel, paper, party, patch, peace
queen, query, quick, quiet, quilt, quote
radio, range, ratio, reach, ready, reply
salad, scale, scene, scope, score, sense
table, taken, taste, teach, tempo, thing
udder, ulcer, ultra, under, union, urban
valid, value, vapor, vault, verse, visit
wagon, waist, waste, watch, water, weary
xenia, xenon, xylem, xenic, xylan, xylol
yearn, yeast, yield, young, youth, yodel
zebra, zesty, zilch, zingy, zippy, zonal
